"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.374995575E2,3.412356186E1,-7.012527466E0,1.418440035E2
1.000000000E-2,1.358309784E2,3.363793564E1,-7.434265137E0,1.401314872E2
2.000000000E-2,1.358277893E2,3.334048080E1,-7.432769775E0,1.400572100E2
3.000000000E-2,1.371743164E2,3.277070999E1,-8.053283691E0,1.412641777E2
4.000000000E-2,1.364222565E2,3.334584427E1,-8.495010376E0,1.406952117E2
5.000000000E-2,1.362841187E2,3.320605850E1,-6.838012695E0,1.404377504E2
6.000000000E-2,1.370444031E2,3.352214432E1,-6.551116943E0,1.412367506E2
7.000000000E-2,1.359704590E2,3.245252609E1,-7.280364990E0,1.399790551E2
8.000000000E-2,1.373430328E2,3.323127365E1,-6.554534912E0,1.414580791E2
9.000000000E-2,1.369003296E2,3.367203140E1,-5.948043823E0,1.411059360E2
1.000000000E-1,1.374968262E2,3.338438034E1,-6.407409668E0,1.416366794E2
1.100000000E-1,1.365970612E2,3.425369644E1,-6.848175049E0,1.409928024E2
1.200000000E-1,1.364490509E2,3.440024185E1,-6.696136475E0,1.408778136E2
1.300000000E-1,1.356786041E2,3.422288132E1,-8.336868286E0,1.401762911E2
1.400000000E-1,1.349280090E2,3.420978165E1,-7.873535156E0,1.394197595E2
1.500000000E-1,1.374865112E2,3.411246109E1,-8.515975952E0,1.419109672E2
1.600000000E-1,1.359704590E2,3.245252609E1,-7.280364990E0,1.399790551E2
1.700000000E-1,1.356968231E2,3.556473160E1,-7.892593384E0,1.405018540E2
1.800000000E-1,1.361510010E2,3.498635483E1,-6.994888306E0,1.407482453E2
1.900000000E-1,1.376356964E2,3.323006821E1,-7.611877441E0,1.417947920E2
2.000000000E-1,1.353714142E2,3.480122757E1,-9.688064575E0,1.401085430E2
2.100000000E-1,1.376180420E2,3.218344498E1,-8.358352661E0,1.415781116E2
2.200000000E-1,1.365857544E2,3.380197525E1,-7.597656250E0,1.409111997E2
2.300000000E-1,1.361386871E2,3.468114090E1,-8.045806885E0,1.407169452E2
2.400000000E-1,1.361327820E2,3.364450455E1,-7.439193726E0,1.404258830E2
2.500000000E-1,1.356511230E2,3.213629532E1,-8.927749634E0,1.396913504E2
2.600000000E-1,1.356831360E2,3.319513321E1,-6.527481079E0,1.398371849E2
2.700000000E-1,1.362690277E2,3.348796463E1,-8.944351196E0,1.406082967E2
2.800000000E-1,1.362729950E2,3.216498184E1,-6.832763672E0,1.401841713E2
2.900000000E-1,1.370380554E2,3.292724228E1,-6.548110962E0,1.410904308E2
3.000000000E-1,1.349220581E2,3.449946976E1,-8.927459717E0,1.395488256E2
3.100000000E-1,1.371864624E2,3.366527939E1,-7.757080078E0,1.414696038E2
3.200000000E-1,1.365982361E2,3.351784134E1,-5.792007446E0,1.407695675E2
3.300000000E-1,1.368777313E2,3.276858139E1,-7.446990967E0,1.409423674E2
3.400000000E-1,1.362984314E2,3.454458237E1,-6.844757080E0,1.407744340E2
3.500000000E-1,1.376473999E2,3.456637192E1,-7.919311523E0,1.421420285E2
3.600000000E-1,1.365988159E2,3.381307602E1,-6.094207764E0,1.408534699E2
3.700000000E-1,1.368788757E2,3.335903549E1,-8.051361084E0,1.411151171E2
3.800000000E-1,1.356739960E2,3.318735886E1,-7.579895020E0,1.398795510E2
3.900000000E-1,1.350648956E2,3.302216721E1,-8.020339966E0,1.392742453E2
4.000000000E-1,1.364321289E2,3.305949783E1,-6.990066528E0,1.405543213E2
4.100000000E-1,1.355357056E2,3.363691330E1,-6.677627563E0,1.398068672E2
4.200000000E-1,1.374910431E2,3.308471298E1,-6.706604004E0,1.415745871E2
4.300000000E-1,1.364548340E2,3.469991684E1,-6.396942139E0,1.409429914E2
4.400000000E-1,1.347746735E2,3.361494064E1,-7.417053223E0,1.391013642E2
4.500000000E-1,1.368931885E2,3.469756699E1,-8.058105469E0,1.414517560E2
4.600000000E-1,1.365982361E2,3.351784134E1,-5.792007446E0,1.407695675E2
4.700000000E-1,1.365982361E2,3.351784134E1,-5.792007446E0,1.407695675E2
4.800000000E-1,1.365982361E2,3.351784134E1,-5.792007446E0,1.407695675E2
4.900000000E-1,1.365982361E2,3.351784134E1,-5.792007446E0,1.407695675E2
5.000000000E-1,1.362950897E2,3.483647537E1,-7.597991943E0,1.408817269E2
5.100000000E-1,1.353898621E2,3.422741318E1,-6.828506470E0,1.398161617E2
5.200000000E-1,1.356654816E2,3.214850235E1,-7.273956299E0,1.396121754E2
5.300000000E-1,1.359731903E2,3.319170761E1,-7.885513306E0,1.401876573E2
5.400000000E-1,1.359692688E2,3.318838120E1,-8.336532593E0,1.402091598E2
5.500000000E-1,1.358266144E2,3.407632828E1,-8.488922119E0,1.402930045E2
5.600000000E-1,1.358344879E2,3.275668716E1,-5.926315308E0,1.398539591E2
5.700000000E-1,1.370354462E2,3.292502213E1,-6.848815918E0,1.411016544E2
5.800000000E-1,1.353813324E2,3.318856430E1,-6.522552490E0,1.395425729E2
5.900000000E-1,1.361093292E2,3.229820633E1,-8.484832764E0,1.401460525E2
6.000000000E-1,1.370321045E2,3.321692276E1,-7.602035522E0,1.412053560E2
6.100000000E-1,1.368971405E2,3.337457657E1,-5.946533203E0,1.410320910E2
6.200000000E-1,1.375027466E2,3.442101669E1,-7.014022827E0,1.419190200E2
6.300000000E-1,1.376186066E2,3.247867966E1,-8.660537720E0,1.416642171E2
6.400000000E-1,1.361354980E2,3.438368607E1,-8.044311523E0,1.406407574E2
6.500000000E-1,1.355207672E2,3.332947159E1,-8.029220581E0,1.397898437E2
6.600000000E-1,1.365883636E2,3.380419540E1,-7.296966553E0,1.408983692E2
6.700000000E-1,1.374856567E2,3.366962814E1,-8.062698364E0,1.417778430E2
6.800000000E-1,1.373136292E2,3.217465591E1,-8.654129028E0,1.412980367E2
6.900000000E-1,1.368926086E2,3.440233231E1,-7.755920410E0,1.413621628E2
7.000000000E-1,1.353694153E2,3.376792526E1,-8.630386353E0,1.397842442E2
7.100000000E-1,1.358285217E2,3.304636002E1,-6.980224609E0,1.399648983E2
7.200000000E-1,1.373467865E2,3.382395554E1,-6.858230591E0,1.416165070E2
7.300000000E-1,1.361269836E2,3.334482956E1,-7.738357544E0,1.403649369E2
7.400000000E-1,1.371950226E2,3.337781143E1,-6.402481079E0,1.413419410E2
7.500000000E-1,1.356680450E2,3.347703934E1,-8.633819580E0,1.400038337E2
7.600000000E-1,1.344698486E2,3.272156906E1,-6.655899048E0,1.385537523E2
7.700000000E-1,1.358357391E2,3.408410263E1,-7.436523438E0,1.402439872E2
7.800000000E-1,1.351064453E2,3.497335434E1,-5.624572754E0,1.396729140E2
7.900000000E-1,1.362710724E2,3.319495773E1,-8.341461182E0,1.405037023E2
8.000000000E-1,1.355196228E2,3.273901749E1,-7.424850464E0,1.396156862E2
8.100000000E-1,1.349258575E2,3.376583481E1,-7.570602417E0,1.392926152E2
8.200000000E-1,1.362775879E2,3.320050430E1,-7.589736938E0,1.404687102E2
8.300000000E-1,1.358368835E2,3.467457199E1,-8.040893555E0,1.404230780E2
8.400000000E-1,1.370475922E2,3.381959915E1,-6.552612305E0,1.413108083E2
8.500000000E-1,1.362718048E2,3.290082932E1,-7.888931274E0,1.404090616E2
8.600000000E-1,1.370522003E2,3.485511398E1,-7.309585571E0,1.416037239E2
8.700000000E-1,1.373259430E2,3.247987747E1,-7.603210449E0,1.413193754E2
8.800000000E-1,1.358103027E2,3.170450974E1,-7.424514771E0,1.396593630E2
8.900000000E-1,1.373435974E2,3.352650070E1,-6.856735229E0,1.415425901E2
9.000000000E-1,1.361335144E2,3.335037613E1,-6.986633301E0,1.403331549E2
9.100000000E-1,1.368920441E2,3.410709763E1,-7.453735352E0,1.412737909E2
9.200000000E-1,1.364345703E2,3.365107346E1,-7.444107056E0,1.407202951E2
9.300000000E-1,1.359678497E2,3.245030594E1,-7.581069946E0,1.399919681E2
9.400000000E-1,1.361295929E2,3.334704971E1,-7.437683105E0,1.403517400E2
9.500000000E-1,1.358251801E2,3.333826065E1,-7.733444214E0,1.400704299E2
9.600000000E-1,1.358258057E2,3.230717850E1,-6.375091553E0,1.397606706E2
9.700000000E-1,1.350876007E2,3.466258621E1,-7.427215576E0,1.396614416E2
9.800000000E-1,1.362664642E2,3.215942764E1,-7.584487915E0,1.402152007E2
9.900000000E-1,1.355410461E2,3.437831497E1,-6.982055664E0,1.400071171E2
1.000000000E0,1.365766296E2,3.379420853E1,-8.650070190E0,1.409611578E2
1.010000000E0,1.362809448E2,3.290860367E1,-6.836517334E0,1.403645614E2
1.020000000E0,1.358108826E2,3.199973679E1,-7.726699829E0,1.397436255E2
1.030000000E0,1.364093781E2,3.274540329E1,-9.243728638E0,1.405888558E2
1.040000000E0,1.379438629E2,3.383153915E1,-7.619796753E0,1.422362249E2
1.050000000E0,1.359757996E2,3.319392776E1,-7.584808350E0,1.401741211E2
1.060000000E0,1.353884277E2,3.348933792E1,-6.073028564E0,1.396010165E2
1.070000000E0,1.361327820E2,3.364450455E1,-7.439193726E0,1.404258830E2
1.080000000E0,1.365760498E2,3.349897385E1,-8.347885132E0,1.408718773E2
1.090000000E0,1.359791412E2,3.290202713E1,-6.831588745E0,1.400697713E2
1.100000000E0,1.377738342E2,3.336986160E1,-9.268875122E0,1.420601602E2
1.110000000E0,1.364379272E2,3.335916519E1,-6.690887451E0,1.406161793E2
1.120000000E0,1.364255981E2,3.305395126E1,-7.741790771E0,1.405860692E2
1.130000000E0,1.368820496E2,3.365649033E1,-8.052856445E0,1.411888924E2
1.140000000E0,1.364158936E2,3.275094986E1,-8.492004395E0,1.405490479E2
1.150000000E0,1.362861176E2,3.423935318E1,-7.895675659E0,1.407429602E2
1.160000000E0,1.381083832E2,3.414113998E1,-6.421005249E0,1.424105763E2
1.170000000E0,1.362873077E2,3.350350571E1,-6.839508057E0,1.405115441E2
1.180000000E0,1.364333801E2,3.438692093E1,-8.500259399E0,1.409566669E2
1.190000000E0,1.374936523E2,3.308693314E1,-6.405914307E0,1.415637147E2
1.200000000E0,1.370419617E2,3.293056870E1,-6.097091675E0,1.410747892E2
1.210000000E0,1.370410614E2,3.381404495E1,-7.304336548E0,1.413399996E2
1.220000000E0,1.370497437E2,3.426354599E1,-6.855560303E0,1.414341597E2
1.230000000E0,1.373307190E2,3.292604446E1,-7.605453491E0,1.414273443E2
1.240000000E0,1.361238098E2,3.304738235E1,-7.736862183E0,1.402914114E2
1.250000000E0,1.355265656E2,3.362914658E1,-7.730026245E0,1.398503585E2
1.260000000E0,1.359881134E2,3.349914932E1,-6.533889771E0,1.402057478E2
1.270000000E0,1.370445709E2,3.293278885E1,-5.796386719E0,1.410651661E2
1.280000000E0,1.358283691E2,3.363571548E1,-7.734939575E0,1.401446985E2
1.290000000E0,1.370314789E2,3.424800491E1,-8.960403442E0,1.415303532E2
1.300000000E0,1.371806641E2,3.336560440E1,-8.056274414E0,1.414096945E2
1.310000000E0,1.361323242E2,3.408623123E1,-8.042800903E0,1.405651717E2
1.320000000E0,1.373370819E2,3.352094650E1,-7.608459473E0,1.415733611E2
1.330000000E0,1.368574677E2,3.171973038E1,-8.494140625E0,1.407418139E2
1.340000000E0,1.379464722E2,3.383375931E1,-7.319107056E0,1.422234924E2
1.350000000E0,1.370449829E2,3.381737900E1,-6.853317261E0,1.413220097E2
1.360000000E0,1.356771851E2,3.348480606E1,-7.581390381E0,1.399535932E2
1.370000000E0,1.378019714E2,3.309905624E1,-5.659103394E0,1.418342565E2
1.380000000E0,1.353779907E2,3.348045731E1,-7.275787354E0,1.396462619E2
1.390000000E0,1.371747589E2,3.232897568E1,-7.449661255E0,1.411296376E2
1.400000000E0,1.361392975E2,3.365005112E1,-6.687454224E0,1.403957133E2
1.410000000E0,1.376526184E2,3.457081223E1,-7.317932129E0,1.421159264E2
1.420000000E0,1.358140564E2,3.229719162E1,-7.728195190E0,1.398152048E2
1.430000000E0,1.365851898E2,3.350674057E1,-7.295455933E0,1.408241436E2
1.440000000E0,1.374930267E2,3.411801529E1,-7.764251709E0,1.418754911E2
1.450000000E0,1.365794067E2,3.320707321E1,-7.594650269E0,1.407633573E2
1.460000000E0,1.356642914E2,3.288435745E1,-8.330123901E0,1.398412381E2
1.470000000E0,1.370086517E2,3.187062454E1,-8.647705078E0,1.409322183E2
1.480000000E0,1.358188171E2,3.274336624E1,-7.730438232E0,1.399236892E2
1.490000000E0,1.364373016E2,3.439025497E1,-8.049224854E0,1.409347968E2
1.500000000E0,1.353630676E2,3.317302322E1,-8.627395630E0,1.396353877E2
1.510000000E0,1.374865112E2,3.411246109E1,-8.515975952E0,1.419109672E2
1.520000000E0,1.363010406E2,3.454680252E1,-6.544067383E0,1.407632056E2
1.530000000E0,1.359652405E2,3.244808578E1,-7.881759644E0,1.400055250E2
1.540000000E0,1.361206207E2,3.274993515E1,-7.735366821E0,1.402184636E2
1.550000000E0,1.364321289E2,3.305949783E1,-6.990066528E0,1.405543213E2
1.560000000E0,1.358422699E2,3.408964920E1,-6.684783936E0,1.402138111E2
1.570000000E0,1.361206207E2,3.274993515E1,-7.735366821E0,1.402184636E2
1.580000000E0,1.364432678E2,3.410056686E1,-6.995315552E0,1.408138787E2
1.590000000E0,1.356870422E2,3.319845963E1,-6.076446533E0,1.398214374E2
1.600000000E0,1.370358429E2,3.380960464E1,-7.905731201E0,1.413662343E2
1.610000000E0,1.370308380E2,3.188949203E1,-6.091842651E0,1.408243616E2
1.620000000E0,1.359966278E2,3.453800583E1,-6.839843750E0,1.404803904E2
1.630000000E0,1.359847717E2,3.379104996E1,-7.287124634E0,1.403096411E2
1.640000000E0,1.370354462E2,3.292502213E1,-6.848815918E0,1.411016544E2
1.650000000E0,1.370241394E2,3.247330093E1,-7.598281860E0,1.410243381E2
1.660000000E0,1.356831360E2,3.319513321E1,-6.527481079E0,1.398371849E2
1.670000000E0,1.373307190E2,3.292604446E1,-7.605453491E0,1.414273443E2
1.680000000E0,1.375001678E2,3.309248734E1,-5.654190063E0,1.415393187E2
1.690000000E0,1.373312988E2,3.322127914E1,-7.907653809E0,1.415134976E2
1.700000000E0,1.361093292E2,3.229820633E1,-8.484832764E0,1.401460525E2
1.710000000E0,1.370432281E2,3.425799179E1,-7.607284546E0,1.414649326E2
1.720000000E0,1.350641632E2,3.331628036E1,-8.472869873E0,1.393703421E2
1.730000000E0,1.356682129E2,3.288768387E1,-7.879089355E0,1.398196831E2
1.740000000E0,1.379401093E2,3.323885727E1,-7.316101074E0,1.420768127E2
1.750000000E0,1.368911896E2,3.366425705E1,-7.000442505E0,1.411434950E2
1.760000000E0,1.370517426E2,3.529685593E1,-7.913223267E0,1.417450785E2
1.770000000E0,1.373279419E2,3.351317978E1,-8.660873413E0,1.416231181E2
1.780000000E0,1.362775879E2,3.320050430E1,-7.589736938E0,1.404687102E2
