"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.392597504E2,3.426731491E1,-1.305659485E1,1.440069499E2
1.000000000E-2,1.394161072E2,3.574897385E1,-1.426933289E1,1.446321331E2
2.000000000E-2,1.397257843E2,3.443588638E1,-1.171163940E1,1.443824351E2
3.000000000E-2,1.392491760E2,3.352147293E1,-1.335354614E1,1.438483207E2
4.000000000E-2,1.403086700E2,3.384192276E1,-1.337226868E1,1.449503922E2
5.000000000E-2,1.395792084E2,3.532051468E1,-1.231504822E1,1.445045140E2
6.000000000E-2,1.386704559E2,3.559270096E1,-1.305351257E1,1.437592776E2
7.000000000E-2,1.401589050E2,3.442908859E1,-1.397418213E1,1.450005468E2
8.000000000E-2,1.392720642E2,3.457253647E1,-1.200569153E1,1.440003638E2
9.000000000E-2,1.400140839E2,3.487308884E1,-1.382362366E1,1.449522976E2
1.000000000E-1,1.397192535E2,3.443033981E1,-1.246336365E1,1.444377151E2
1.100000000E-1,1.389585114E2,3.455598068E1,-1.335386658E1,1.438120629E2
1.200000000E-1,1.392571411E2,3.426509476E1,-1.335728455E1,1.440314727E2
1.300000000E-1,1.415293274E2,3.476388168E1,-1.294540405E1,1.463101550E2
1.400000000E-1,1.403315430E2,3.489297867E1,-1.202441406E1,1.451035783E2
1.500000000E-1,1.387950134E2,3.409984970E1,-1.425123596E1,1.436313101E2
1.600000000E-1,1.384904480E2,3.468041611E1,-1.530172729E1,1.435843944E2
1.700000000E-1,1.400213470E2,3.458452225E1,-1.261936951E1,1.447802310E2
1.800000000E-1,1.388110809E2,3.499775314E1,-1.350401306E1,1.437905327E2
1.900000000E-1,1.391379242E2,3.649934769E1,-1.246401978E1,1.443846118E2
2.000000000E-1,1.389643097E2,3.485564804E1,-1.305467224E1,1.438625039E2
2.100000000E-1,1.377504578E2,3.408684158E1,-1.288090515E1,1.424886631E2
2.200000000E-1,1.388039856E2,3.469697952E1,-1.395355225E1,1.437537075E2
2.300000000E-1,1.391267853E2,3.545827103E1,-1.245877075E1,1.441137479E2
2.400000000E-1,1.386664276E2,3.485240555E1,-1.259872437E1,1.435332581E2
2.500000000E-1,1.397225952E2,3.413843155E1,-1.171012878E1,1.443085695E2
2.600000000E-1,1.394246826E2,3.546151352E1,-1.291471863E1,1.444422065E2
2.700000000E-1,1.403054810E2,3.354446793E1,-1.337075806E1,1.448780055E2
2.800000000E-1,1.391156616E2,3.441719437E1,-1.245352173E1,1.438499245E2
2.900000000E-1,1.394121094E2,3.368236923E1,-1.215399170E1,1.439373397E2
3.000000000E-1,1.412188416E2,3.430779648E1,-1.338926697E1,1.459419699E2
3.100000000E-1,1.403074799E2,3.457777023E1,-1.442843628E1,1.452239335E2
3.200000000E-1,1.377568207E2,3.468175125E1,-1.288391113E1,1.426385666E2
3.300000000E-1,1.397256165E2,3.502524185E1,-1.246635437E1,1.445870860E2
3.400000000E-1,1.394232483E2,3.472344589E1,-1.215924072E1,1.441957246E2
3.500000000E-1,1.386644287E2,3.381911087E1,-1.154106140E1,1.431948049E2
3.600000000E-1,1.406145020E2,3.458877945E1,-1.383197021E1,1.454652715E2
3.700000000E-1,1.391181030E2,3.500876236E1,-1.290754700E1,1.440349430E2
3.800000000E-1,1.400253754E2,3.532482529E1,-1.307414246E1,1.450030421E2
3.900000000E-1,1.397347565E2,3.503300858E1,-1.141394043E1,1.445108712E2
4.000000000E-1,1.391285400E2,3.501764297E1,-1.170478821E1,1.439443922E2
4.100000000E-1,1.389546051E2,3.455264664E1,-1.380490112E1,1.438500711E2
4.200000000E-1,1.400114746E2,3.487086868E1,-1.412431335E1,1.449782285E2
4.300000000E-1,1.396982574E2,3.367561722E1,-1.396305847E1,1.443766509E2
4.400000000E-1,1.389434662E2,3.351156998E1,-1.379965210E1,1.435922787E2
4.500000000E-1,1.383469696E2,3.379922104E1,-1.334028625E1,1.430392764E2
4.600000000E-1,1.380470428E2,3.408897018E1,-1.348721313E1,1.428318902E2
4.700000000E-1,1.391156616E2,3.441719437E1,-1.245352173E1,1.438499245E2
4.800000000E-1,1.391156616E2,3.441719437E1,-1.245352173E1,1.438499245E2
4.900000000E-1,1.391156616E2,3.441719437E1,-1.245352173E1,1.438499245E2
5.000000000E-1,1.391156616E2,3.441719437E1,-1.245352173E1,1.438499245E2
5.100000000E-1,1.391156616E2,3.441719437E1,-1.245352173E1,1.438499245E2
5.200000000E-1,1.400031128E2,3.324267197E1,-1.306364441E1,1.444873892E2
5.300000000E-1,1.379022217E2,3.453298569E1,-1.333665466E1,1.427845097E2
5.400000000E-1,1.394271698E2,3.472677231E1,-1.170820618E1,1.441629858E2
5.500000000E-1,1.391149292E2,3.471131516E1,-1.290605164E1,1.439597343E2
5.600000000E-1,1.395758667E2,3.561240768E1,-1.306826782E1,1.446390188E2
5.700000000E-1,1.391253662E2,3.472019577E1,-1.170329285E1,1.438691300E2
5.800000000E-1,1.389577789E2,3.485009384E1,-1.380639648E1,1.439250150E2
5.900000000E-1,1.394135437E2,3.442043686E1,-1.290946960E1,1.441789064E2
6.000000000E-1,1.407481995E2,3.310371017E1,-1.397727966E1,1.452627813E2
6.100000000E-1,1.400096436E2,3.324821854E1,-1.231192017E1,1.444289711E2
6.200000000E-1,1.388190308E2,3.574137497E1,-1.350776672E1,1.439813493E2
6.300000000E-1,1.395379333E2,3.351694107E1,-1.486190796E1,1.442743792E2
6.400000000E-1,1.392458496E2,3.381337357E1,-1.410676575E1,1.439852482E2
6.500000000E-1,1.397236938E2,3.605521774E1,-1.397505188E1,1.449758305E2
6.600000000E-1,1.392634888E2,3.485999680E1,-1.336029053E1,1.441805675E2
6.700000000E-1,1.394031525E2,3.308524704E1,-1.245169067E1,1.438155662E2
6.800000000E-1,1.394024048E2,3.337936020E1,-1.290422058E1,1.439226565E2
6.900000000E-1,1.391267853E2,3.545827103E1,-1.245877075E1,1.441137479E2
7.000000000E-1,1.384975891E2,3.365488052E1,-1.319165039E1,1.431371818E2
7.100000000E-1,1.391325684E2,3.575793839E1,-1.215957642E1,1.441678086E2
7.200000000E-1,1.392551422E2,3.323179245E1,-1.229962158E1,1.436928229E2
7.300000000E-1,1.392752380E2,3.486998367E1,-1.200720215E1,1.440752602E2
7.400000000E-1,1.396965027E2,3.411623001E1,-1.471702576E1,1.445531766E2
7.500000000E-1,1.386513824E2,3.380801010E1,-1.304450989E1,1.433085714E2
7.600000000E-1,1.383634796E2,3.425537491E1,-1.198944092E1,1.430441537E2
7.700000000E-1,1.401700439E2,3.547016525E1,-1.397943115E1,1.452625153E2
7.800000000E-1,1.388099365E2,3.440729141E1,-1.289962769E1,1.435912970E2
7.900000000E-1,1.394284210E2,3.605419540E1,-1.321841431E1,1.446199021E2
8.000000000E-1,1.395679016E2,3.486878586E1,-1.306451416E1,1.444496899E2
8.100000000E-1,1.406001892E2,3.325025558E1,-1.382521057E1,1.451383104E2
8.200000000E-1,1.401745605E2,3.444240952E1,-1.217004395E1,1.448561251E2
8.300000000E-1,1.400005035E2,3.324045181E1,-1.336434937E1,1.445118489E2
8.400000000E-1,1.388073425E2,3.440507126E1,-1.320031738E1,1.436155829E2
8.500000000E-1,1.395589294E2,3.427166367E1,-1.336221313E1,1.443252939E2
8.600000000E-1,1.391190033E2,3.412528610E1,-1.170028687E1,1.437203150E2
8.700000000E-1,1.397121582E2,3.412955093E1,-1.291288757E1,1.443989476E2
8.800000000E-1,1.395621185E2,3.456911850E1,-1.336370850E1,1.443994376E2
8.900000000E-1,1.391253662E2,3.472019577E1,-1.170329285E1,1.438691300E2
9.000000000E-1,1.386684570E2,3.455939865E1,-1.199584961E1,1.434126683E2
9.100000000E-1,1.386567078E2,3.454941177E1,-1.334895325E1,1.435184274E2
9.200000000E-1,1.389434662E2,3.351156998E1,-1.379965210E1,1.435922787E2
9.300000000E-1,1.391228790E2,3.545493698E1,-1.290980530E1,1.441488505E2
9.400000000E-1,1.385113220E2,3.469817734E1,-1.289620972E1,1.433724592E2
9.500000000E-1,1.393971863E2,3.337491989E1,-1.350559998E1,1.439717405E2
9.600000000E-1,1.383628693E2,3.528647232E1,-1.334777832E1,1.434140227E2
9.700000000E-1,1.389343262E2,3.350380325E1,-1.485206604E1,1.436865884E2
9.800000000E-1,1.392634888E2,3.485999680E1,-1.336029053E1,1.441805675E2
9.900000000E-1,1.397218628E2,3.443255997E1,-1.216265869E1,1.444151322E2
1.000000000E0,1.392506104E2,3.425954056E1,-1.410902405E1,1.440955001E2
1.010000000E0,1.397153473E2,3.442700577E1,-1.291438293E1,1.444727597E2
1.020000000E0,1.401622620E2,3.413718033E1,-1.322096252E1,1.448640763E2
1.030000000E0,1.389650421E2,3.456152725E1,-1.260214233E1,1.437518559E2
1.040000000E0,1.377456970E2,3.364067459E1,-1.287866211E1,1.423777791E2
1.050000000E0,1.394284210E2,3.605419540E1,-1.321841431E1,1.446199021E2
1.060000000E0,1.394055939E2,3.367681503E1,-1.290571594E1,1.439951561E2
1.070000000E0,1.400181580E2,3.428706741E1,-1.261787415E1,1.447062483E2
1.080000000E0,1.385152283E2,3.470151138E1,-1.244517517E1,1.433371750E2
1.090000000E0,1.395732422E2,3.561018753E1,-1.336895752E1,1.446634177E2
1.100000000E0,1.394264221E2,3.502089310E1,-1.216075134E1,1.442708356E2
1.110000000E0,1.394017944E2,3.441044998E1,-1.426258850E1,1.442926221E2
1.120000000E0,1.400174255E2,3.458119583E1,-1.307040405E1,1.448156553E2
1.130000000E0,1.374557495E2,3.438106155E1,-1.242645264E1,1.422341632E2
1.140000000E0,1.395659180E2,3.383548355E1,-1.200686646E1,1.441098548E2
1.150000000E0,1.401680450E2,3.443685532E1,-1.292176819E1,1.449135948E2
1.160000000E0,1.389539185E2,3.352045059E1,-1.259689331E1,1.434938806E2
1.170000000E0,1.388073425E2,3.440507126E1,-1.320031738E1,1.436155829E2
1.180000000E0,1.388047180E2,3.440285110E1,-1.350102234E1,1.436404661E2
1.190000000E0,1.397010345E2,3.308848190E1,-1.290763855E1,1.441451831E2
1.200000000E0,1.380475006E2,3.364724350E1,-1.288357544E1,1.426717769E2
1.210000000E0,1.397250519E2,3.473001480E1,-1.216416931E1,1.444895535E2
1.220000000E0,1.394010620E2,3.470457077E1,-1.471511841E1,1.444077492E2
1.230000000E0,1.397159119E2,3.472224045E1,-1.321658325E1,1.445712561E2
1.240000000E0,1.378942719E2,3.378936386E1,-1.333290100E1,1.425984487E2
1.250000000E0,1.402899933E2,3.294179153E1,-1.442018127E1,1.448253620E2
1.260000000E0,1.386632385E2,3.455495834E1,-1.259722900E1,1.434581090E2
1.270000000E0,1.394200745E2,3.442599106E1,-1.215774536E1,1.441211879E2
1.280000000E0,1.383914185E2,3.590023422E1,-1.079490662E1,1.433790136E2
