"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.480803986E2,3.291727829E1,-2.086184692E1,1.531227230E2
1.000000000E-2,1.453850250E2,3.420220566E1,-2.007258606E1,1.506967322E2
2.000000000E-2,1.455217438E2,3.360393906E1,-2.097410583E1,1.508168285E2
3.000000000E-2,1.474917145E2,3.321156693E1,-1.950039673E1,1.524371329E2
4.000000000E-2,1.464078522E2,3.375461197E1,-2.339515686E1,1.520590884E2
5.000000000E-2,1.467299194E2,3.481003952E1,-2.235290527E1,1.524501902E2
6.000000000E-2,1.450588837E2,3.373282242E1,-2.232058716E1,1.505928008E2
7.000000000E-2,1.456716156E2,3.375373459E1,-2.127801514E1,1.510373733E2
8.000000000E-2,1.461354523E2,3.480466080E1,-2.129064941E1,1.517241793E2
9.000000000E-2,1.467274628E2,3.421845627E1,-2.189886475E1,1.522478616E2
1.000000000E-1,1.461282349E2,3.376691818E1,-2.083436584E1,1.514190760E2
1.100000000E-1,1.461393738E2,3.480799484E1,-2.083961487E1,1.516660892E2
1.200000000E-1,1.455400848E2,3.568275833E1,-2.143563843E1,1.513758968E2
1.300000000E-1,1.466062622E2,3.541941452E1,-1.994792175E1,1.521376042E2
1.400000000E-1,1.456737823E2,3.419768143E1,-2.158096313E1,1.511822418E2
1.500000000E-1,1.465774689E2,3.333170700E1,-2.068913269E1,1.517366050E2
1.600000000E-1,1.456716156E2,3.375373459E1,-2.127801514E1,1.510373733E2
1.700000000E-1,1.475032501E2,3.513722610E1,-2.056256104E1,1.530184707E2
1.800000000E-1,1.464502869E2,3.482233047E1,-1.979211426E1,1.518288807E2
1.900000000E-1,1.465707855E2,3.391550827E1,-2.219558716E1,1.520720256E2
2.000000000E-1,1.470298767E2,3.319395065E1,-2.054542542E1,1.521240859E2
2.100000000E-1,1.467332611E2,3.451813126E1,-2.159968567E1,1.522783561E2
2.200000000E-1,1.459736938E2,3.390792465E1,-2.143402100E1,1.513852169E2
2.300000000E-1,1.469047089E2,3.571786880E1,-2.070605469E1,1.525958726E2
2.400000000E-1,1.476506958E2,3.469544601E1,-2.041242981E1,1.530397636E2
2.500000000E-1,1.455256042E2,3.493358231E1,-2.218362427E1,1.512949763E2
2.600000000E-1,1.453705597E2,3.345303726E1,-2.082055664E1,1.506160712E2
2.700000000E-1,1.455209961E2,3.389806747E1,-2.142665100E1,1.509454890E2
