"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.370106506E2,3.290393448E1,-9.705368042E0,1.412401553E2
1.000000000E-2,1.371838531E2,3.366305923E1,-8.057769775E0,1.414833516E2
2.000000000E-2,1.361407166E2,3.438812637E1,-7.442932129E0,1.406137802E2
3.000000000E-2,1.370426025E2,3.528908920E1,-8.965652466E0,1.417969592E2
4.000000000E-2,1.365957031E2,3.557889938E1,-8.659072876E0,1.414186117E2
5.000000000E-2,1.374902649E2,3.470515823E1,-8.819671631E0,1.420767664E2
6.000000000E-2,1.376355286E2,3.381942368E1,-8.366607666E0,1.419763792E2
7.000000000E-2,1.373194275E2,3.247433090E1,-8.354934692E0,1.413542085E2
8.000000000E-2,1.371774902E2,3.306815720E1,-8.054779053E0,1.413366418E2
9.000000000E-2,1.376408691E2,3.456082535E1,-8.671035767E0,1.421782204E2
1.000000000E-1,1.358357391E2,3.408410263E1,-7.436523438E0,1.402439872E2
1.100000000E-1,1.365879211E2,3.424592209E1,-7.900604248E0,1.410370977E2
1.200000000E-1,1.372073059E2,3.500934982E1,-7.012115479E0,1.417768286E2
1.300000000E-1,1.364404907E2,3.468770981E1,-8.050720215E0,1.410108464E2
1.400000000E-1,1.384091187E2,3.562054062E1,-8.387893677E0,1.431651627E2
1.500000000E-1,1.361210327E2,3.363451767E1,-8.792282104E0,1.404902863E2
1.600000000E-1,1.365697021E2,3.290407181E1,-8.344879150E0,1.407252589E2
1.700000000E-1,1.377902222E2,3.308906174E1,-7.012191772E0,1.418809436E2
1.800000000E-1,1.353859406E2,3.422407913E1,-7.279525757E0,1.398343019E2
1.900000000E-1,1.373487854E2,3.485725021E1,-7.915893555E0,1.419238462E2
2.000000000E-1,1.373307190E2,3.292604446E1,-7.605453491E0,1.414273443E2
2.100000000E-1,1.361557617E2,3.543252945E1,-6.997146606E0,1.408645294E2
2.200000000E-1,1.368872681E2,3.366093063E1,-7.451492310E0,1.411619890E2
2.300000000E-1,1.380892639E2,3.368276596E1,-8.072540283E0,1.423669183E2
2.400000000E-1,1.379283600E2,3.322887039E1,-8.669219971E0,1.421391772E2
2.500000000E-1,1.365760498E2,3.349897385E1,-8.347885132E0,1.408718773E2
2.600000000E-1,1.376232147E2,3.351420212E1,-9.417510986E0,1.419578828E2
2.700000000E-1,1.374988251E2,3.441769028E1,-7.465072632E0,1.419374215E2
2.800000000E-1,1.376394501E2,3.382275009E1,-7.915573120E0,1.419551089E2
2.900000000E-1,1.359895325E2,3.423721695E1,-7.289367676E0,1.404224870E2
3.000000000E-1,1.359692688E2,3.318838120E1,-8.336532593E0,1.402091598E2
3.100000000E-1,1.371851196E2,3.499048233E1,-9.567977905E0,1.419000955E2
3.200000000E-1,1.386938324E2,3.487572098E1,-9.441482544E0,1.433228406E2
3.300000000E-1,1.368868256E2,3.410265732E1,-8.055099487E0,1.413006684E2
3.400000000E-1,1.373305511E2,3.351539993E1,-8.360183716E0,1.416081035E2
3.500000000E-1,1.358512421E2,3.468677902E1,-6.387100220E0,1.403550058E2
3.600000000E-1,1.379309692E2,3.323109055E1,-8.368515015E0,1.421242052E2
3.700000000E-1,1.368952179E2,3.440455246E1,-7.455230713E0,1.413490516E2
3.800000000E-1,1.378013611E2,3.413013077E1,-7.017456055E0,1.421384031E2
3.900000000E-1,1.358512421E2,3.468677902E1,-6.387100220E0,1.403550058E2
4.000000000E-1,1.386888123E2,3.295560837E1,-7.627593994E0,1.427544709E2
4.100000000E-1,1.364282074E2,3.305617142E1,-7.441101074E0,1.405728858E2
4.200000000E-1,1.373358917E2,3.425680161E1,-8.664627075E0,1.418088551E2
4.300000000E-1,1.370289154E2,3.291946793E1,-7.600540161E0,1.411325024E2
4.400000000E-1,1.364196472E2,3.334363174E1,-8.795700073E0,1.407106331E2
4.500000000E-1,1.370293274E2,3.380405807E1,-8.657455444E0,1.414026253E2
4.600000000E-1,1.362716370E2,3.349018478E1,-8.643646240E0,1.405925465E2
4.700000000E-1,1.376239471E2,3.322008133E1,-8.964981079E0,1.418601266E2
4.800000000E-1,1.376239471E2,3.322008133E1,-8.964981079E0,1.418601266E2
4.900000000E-1,1.376239471E2,3.322008133E1,-8.964981079E0,1.418601266E2
5.000000000E-1,1.376239471E2,3.322008133E1,-8.964981079E0,1.418601266E2
5.100000000E-1,1.376239471E2,3.322008133E1,-8.964981079E0,1.418601266E2
5.200000000E-1,1.379401093E2,3.323885727E1,-7.316101074E0,1.420768127E2
5.300000000E-1,1.371982117E2,3.367526627E1,-6.403991699E0,1.414156425E2
5.400000000E-1,1.371918030E2,3.440668106E1,-8.061523438E0,1.416700345E2
5.500000000E-1,1.370404510E2,3.484512711E1,-8.662704468E0,1.416661941E2
5.600000000E-1,1.381029968E2,3.472606277E1,-7.777099609E0,1.426142365E2
5.700000000E-1,1.365903625E2,3.483749771E1,-8.354629517E0,1.412104041E2
5.800000000E-1,1.380931244E2,3.501240921E1,-9.282043457E0,1.427646179E2
5.900000000E-1,1.362684631E2,3.319273758E1,-8.642150879E0,1.405188195E2
6.000000000E-1,1.381063385E2,3.443415451E1,-7.023864746E0,1.425075661E2
6.100000000E-1,1.362907104E2,3.527489090E1,-8.652648926E0,1.410473113E2
6.200000000E-1,1.371813660E2,3.439780045E1,-9.264282227E0,1.417313048E2
6.300000000E-1,1.370358429E2,3.380960464E1,-7.905731201E0,1.413662343E2
6.400000000E-1,1.374962158E2,3.441547012E1,-7.765747070E0,1.419504871E2
6.500000000E-1,1.379380646E2,3.353186417E1,-7.918991089E0,1.421759684E2
6.600000000E-1,1.368937988E2,3.366647720E1,-6.699768066E0,1.411319621E2
6.700000000E-1,1.377777405E2,3.337319565E1,-8.817840576E0,1.420360175E2
6.800000000E-1,1.370517426E2,3.529685593E1,-7.913223267E0,1.417450785E2
6.900000000E-1,1.364190826E2,3.304839706E1,-8.493515015E0,1.406218420E2
7.000000000E-1,1.359954529E2,3.527386093E1,-7.896011353E0,1.407172891E2
7.100000000E-1,1.365857544E2,3.380197525E1,-7.597656250E0,1.409111997E2
7.200000000E-1,1.361466370E2,3.542476273E1,-8.049560547E0,1.409099570E2
7.300000000E-1,1.385419464E2,3.369262314E1,-8.079910278E0,1.428087838E2
7.400000000E-1,1.349246674E2,3.450168991E1,-8.626770020E0,1.395329840E2
7.500000000E-1,1.375047302E2,3.545432663E1,-8.071701050E0,1.422311937E2
7.600000000E-1,1.362716370E2,3.349018478E1,-8.643646240E0,1.405925465E2
7.700000000E-1,1.364302063E2,3.408946609E1,-8.498764038E0,1.408812332E2
7.800000000E-1,1.376356964E2,3.323006821E1,-7.611877441E0,1.417947920E2
7.900000000E-1,1.372007751E2,3.500380325E1,-7.763839722E0,1.418083078E2
8.000000000E-1,1.377998352E2,3.604469681E1,-9.583068848E0,1.427580119E2
8.100000000E-1,1.372133331E2,3.678294754E1,-8.524551392E0,1.423135693E2
8.200000000E-1,1.362730713E2,3.422826004E1,-9.399124146E0,1.408199818E2
8.300000000E-1,1.356797485E2,3.481334305E1,-8.941253662E0,1.403599267E2
8.400000000E-1,1.369023132E2,3.470533371E1,-7.005691528E0,1.414064471E2
8.500000000E-1,1.370515137E2,3.382292557E1,-6.101577759E0,1.412952120E2
8.600000000E-1,1.368626404E2,3.305048752E1,-9.553314209E0,1.411204552E2
8.700000000E-1,1.359804077E2,3.422945023E1,-8.341796875E0,1.404703247E2
8.800000000E-1,1.362813416E2,3.379318619E1,-7.893432617E0,1.406303302E2
8.900000000E-1,1.371942444E2,3.499824905E1,-8.515563965E0,1.418437625E2
9.000000000E-1,1.379492035E2,3.457294083E1,-7.924240112E0,1.424361772E2
9.100000000E-1,1.374720306E2,3.336329269E1,-9.263946533E0,1.417656136E2
